x,y,z
1.0,1.0,-1.5924470357666982
2.0,1.0,-1.2705567060779615
3.0,1.0,-1.0287644545286911
4.0,1.0,-1.0220220266150588
5.0,1.0,0.0
6.0,1.0,-2.861626610122978
7.0,1.0,-4.0083106748486745
8.0,1.0,-2.6636540401989555
9.0,1.0,-1.2653067331926275
10.0,1.0,-1.2686627173868843
11.0,1.0,-1.1106968423578296
12.0,1.0,-1.1109029328274929
13.0,1.0,-1.2275078860218305
14.0,1.0,-1.2167522134727224
15.0,1.0,-3.030364040763092
16.0,1.0,-2.350377170506796
17.0,1.0,-2.1580198988592225
18.0,1.0,-3.025366313803556
19.0,1.0,-2.9742406729794526
20.0,1.0,-3.1045775262946718
21.0,1.0,-3.9286986176658556
22.0,1.0,-2.29390234662173
23.0,1.0,-3.207763143306089
24.0,1.0,-3.438352781643632
25.0,1.0,-2.9008043341850827
26.0,1.0,-1.3165595512348383
27.0,1.0,-1.35071038561182
28.0,1.0,0.0
29.0,1.0,0.0
30.0,1.0,0.0
31.0,1.0,0.0
32.0,1.0,0.0
33.0,1.0,-2.1209211194546733
34.0,1.0,-3.4383492510669678
35.0,1.0,-3.438349303969127
36.0,1.0,-3.4383497152617433
37.0,1.0,-3.4383501437315838
38.0,1.0,-1.7625707267359878
39.0,1.0,-1.4424939045308822
40.0,1.0,-1.4424939052397474
41.0,1.0,-1.6087856683782575
42.0,1.0,-1.6428126895565687
43.0,1.0,-1.7625707196062173
44.0,1.0,-1.4832446334283982
45.0,1.0,-1.5343448228052972
46.0,1.0,-3.4383530334895815
47.0,1.0,-2.9008638451799333
48.0,1.0,-2.7902490513682947
49.0,1.0,0.0
50.0,1.0,-2.4626152818432336
51.0,1.0,-2.8937689365838084
52.0,1.0,-2.7565772822603396
53.0,1.0,-3.378948132297374
54.0,1.0,-4.4345248091739
55.0,1.0,-2.817643980094888
56.0,1.0,-1.574946898058385
57.0,1.0,-3.025396842247755
58.0,1.0,-3.4763246239153585
59.0,1.0,-3.7793144990975858
60.0,1.0,-2.2710098863573576
61.0,1.0,-3.0376252388248886
62.0,1.0,-2.83435685398296
63.0,1.0,-2.8282655856926384
64.0,1.0,-1.6424690072226715
65.0,1.0,-3.438349024566747
66.0,1.0,-3.438350439310538
67.0,1.0,-2.7902492286654326
68.0,1.0,-2.731654240857152
69.0,1.0,-2.4379060556731167
1.0,2.0,-1.2776468426603242
2.0,2.0,-1.0647101481099697
3.0,2.0,-0.24381229806742047
4.0,2.0,-0.24331638972862477
5.0,2.0,0.0
6.0,2.0,-1.5275799944719692
7.0,2.0,-1.6037027090026983
8.0,2.0,-2.6527620829159604
9.0,2.0,-1.538832832891253
10.0,2.0,-1.5421792860211894
11.0,2.0,-1.2134071914291291
12.0,2.0,-1.2134310215374418
13.0,2.0,-1.0437873040710273
14.0,2.0,-0.9978735187955061
15.0,2.0,-2.7578979611841317
16.0,2.0,-2.112506661917203
17.0,2.0,-2.2606538747992264
18.0,2.0,-2.8431524271982074
19.0,2.0,-2.7391349472656796
20.0,2.0,-3.240143406863866
21.0,2.0,-3.410783470101655
22.0,2.0,-2.088508067194021
23.0,2.0,-3.3580510545490814
24.0,2.0,-3.4950112681552485
25.0,2.0,-2.462930073367808
26.0,2.0,-1.4603019369306771
27.0,2.0,-1.5483719712718147
28.0,2.0,0.0
29.0,2.0,0.0
30.0,2.0,0.0
31.0,2.0,0.0
32.0,2.0,0.0
33.0,2.0,-2.2272661835364294
34.0,2.0,-3.4950230508607465
35.0,2.0,-3.495022888126088
36.0,2.0,-3.4950217757057658
37.0,2.0,-3.49502059819216
38.0,2.0,-2.109060731626765
39.0,2.0,-1.9194822170723544
40.0,2.0,-1.9194822146745305
41.0,2.0,-1.766994994341166
42.0,2.0,-1.816846022318148
43.0,2.0,-2.1090607531734555
44.0,2.0,-1.252890522799884
45.0,2.0,-1.3053843341943616
46.0,2.0,-3.4950103730073794
47.0,2.0,-2.462929486757211
48.0,2.0,-2.4243042003846504
49.0,2.0,0.0
50.0,2.0,-2.155157146285365
51.0,2.0,-2.3213541122866994
52.0,2.0,-2.698414720795317
53.0,2.0,-3.6537044197146606
54.0,2.0,-5.474084595489996
55.0,2.0,-1.9963242838748176
56.0,2.0,-1.4849309895652598
57.0,2.0,-2.8429839313566245
58.0,2.0,-2.47679780407044
59.0,2.0,-3.864006514800977
60.0,2.0,-2.0266709520691926
61.0,2.0,-3.528236901723547
62.0,2.0,-3.1859481119086586
63.0,2.0,-1.9964694269373837
64.0,2.0,-1.7960537366615075
65.0,2.0,-3.495023740997526
66.0,2.0,-3.4950196512308183
67.0,2.0,-2.424303714694723
68.0,2.0,-2.7317881843348726
69.0,2.0,-2.1965492247382117
