x	y	class	solver	efm
1	-8.395353091829259	Markov	Markov	47
2	-8.65034552998719	Markov	Markov	2
3	-7.6420168652930744	Markov	Markov	52
4	-7.0970762835265	Markov	Markov	4
5	-6.1033035132984	Markov	Markov	29
6	-6.3131869392023905	Markov	Markov	48
7	-7.352068721684431	Markov	Markov	42
8	-6.358295951456331	Markov	Markov	22
9	-6.568179377360321	Markov	Markov	43
10	-6.968852345084103	Markov	Markov	21
11	-6.343740056990317	Markov	Markov	54
12	-5.349967286762216	Markov	Markov	50
13	-5.559850712666207	Markov	Markov	36
14	-4.26764986164302	Markov	Markov	45
15	-4.805026704995641	Markov	Markov	31
16	-5.014910130899632	Markov	Markov	33
17	-4.692350835301206	Markov	Markov	26
18	-5.935970413217088	Markov	Markov	34
19	-5.532456544817643	Markov	Markov	15
20	-4.5226422998009514	Markov	Markov	53
21	-5.060019143153572	Markov	Markov	28
22	-5.801940029309549	Markov	Markov	9
23	-5.269902569057564	Markov	Markov	49
24	-4.6768027665532435	Markov	Markov	24
25	-4.886686192457235	Markov	Markov	19
26	-4.947343273459137	Markov	Markov	40
27	-4.033902230762269	Markov	Markov	27
28	-4.7358501418471945	Markov	Markov	23
29	-3.5143136351068365	Markov	Markov	44
30	-1.5917079104645533	Markov	Markov	11
31	-4.051690478459458	Markov	Markov	51
32	-4.261573904363449	Markov	Markov	37
33	-2.9693730533402616	Markov	Markov	38
34	-2.646813757741836	Markov	Markov	10
35	-3.486919467258273	Markov	Markov	14
36	-3.643920834686229	Markov	Markov	7
37	-4.146494017552329	Markov	Markov	41
38	-3.34602895583851	Markov	Markov	17
39	-3.224365491498193	Markov	Markov	32
40	-2.8411491148978643	Markov	Markov	16
41	-2.901806195899767	Markov	Markov	25
42	-1.9883651532028985	Markov	Markov	13
43	-2.6903130642878237	Markov	Markov	35
44	-2.2160368268040784	Markov	Markov	46
45	-2.24865605798561	Markov	Markov	18
46	-2.1009569399929586	Markov	Markov	20
47	-1.8048495229172778	Markov	Markov	1
48	-1.265649436164954	Markov	Markov	3
49	-1.2933873957209197	Markov	Markov	55
50	-1.907485292682675	Markov	Markov	8
51	-1.5363755087987343	Markov	Markov	39
52	-1.5301844977529546	Markov	Markov	6
53	-1.031790462993064	Markov	Markov	12
54	-1.2014341804599782	Markov	Markov	5
55	-0.23181486211359936	Markov	Markov	30
1	-7.496217095498218	L2_norm	COSMO	47
2	-7.477680245104313	L2_norm	COSMO	2
3	-7.941703548125463	L2_norm	COSMO	52
4	-8.108173353835616	L2_norm	COSMO	4
5	-7.672760780038305	L2_norm	COSMO	29
6	-900.0	L2_norm	COSMO	48
7	-7.852388419092834	L2_norm	COSMO	42
8	-7.645216220306861	L2_norm	COSMO	22
9	-8.878059033136184	L2_norm	COSMO	43
10	-7.77535103695948	L2_norm	COSMO	21
11	-7.741209880579258	L2_norm	COSMO	54
12	-8.11680157911343	L2_norm	COSMO	50
13	-900.0	L2_norm	COSMO	36
14	-7.948166244044157	L2_norm	COSMO	45
15	-8.332731315400203	L2_norm	COSMO	31
16	-900.0	L2_norm	COSMO	33
17	-900.0	L2_norm	COSMO	26
18	-5.4752470233416375	L2_norm	COSMO	34
19	-900.0	L2_norm	COSMO	15
20	-7.966355309425692	L2_norm	COSMO	53
21	-8.219779612350925	L2_norm	COSMO	28
22	-900.0	L2_norm	COSMO	9
23	-900.0	L2_norm	COSMO	49
24	-7.995740108818036	L2_norm	COSMO	24
25	-900.0	L2_norm	COSMO	19
26	-900.0	L2_norm	COSMO	40
27	-3.5159807791595865	L2_norm	COSMO	27
28	-900.0	L2_norm	COSMO	23
29	-3.399083318548987	L2_norm	COSMO	44
30	-1.5917040566247413	L2_norm	COSMO	11
31	-3.8524860145629485	L2_norm	COSMO	51
32	-900.0	L2_norm	COSMO	37
33	-2.8933856138882605	L2_norm	COSMO	38
34	-2.6673245914752552	L2_norm	COSMO	10
35	-3.482917449597904	L2_norm	COSMO	14
36	-3.6481216408120924	L2_norm	COSMO	7
37	-900.0	L2_norm	COSMO	41
38	-3.346071603639208	L2_norm	COSMO	17
39	-3.286768084970672	L2_norm	COSMO	32
40	-2.831076002978637	L2_norm	COSMO	16
41	-2.8571040299662447	L2_norm	COSMO	25
42	-1.9974358783808557	L2_norm	COSMO	13
43	-2.686406555204398	L2_norm	COSMO	35
44	-2.2219481631787517	L2_norm	COSMO	46
45	-2.248655442568685	L2_norm	COSMO	18
46	-2.097060672695001	L2_norm	COSMO	20
47	-1.804848374125409	L2_norm	COSMO	1
48	-1.2656491165154884	L2_norm	COSMO	3
49	-1.2933864459522957	L2_norm	COSMO	55
50	-1.9074845105865685	L2_norm	COSMO	8
51	-1.5363739361515967	L2_norm	COSMO	39
52	-1.5301815935061902	L2_norm	COSMO	6
53	-1.031789600729816	L2_norm	COSMO	12
54	-1.201433366070663	L2_norm	COSMO	5
55	-0.23181459569050178	L2_norm	COSMO	30
1	-900.0	L2_norm	OSQP	47
2	-900.0	L2_norm	OSQP	2
3	-900.0	L2_norm	OSQP	52
4	-900.0	L2_norm	OSQP	4
5	-900.0	L2_norm	OSQP	29
6	-900.0	L2_norm	OSQP	48
7	-900.0	L2_norm	OSQP	42
8	-900.0	L2_norm	OSQP	22
9	-900.0	L2_norm	OSQP	43
10	-900.0	L2_norm	OSQP	21
11	-2.94126172311101	L2_norm	OSQP	54
12	-900.0	L2_norm	OSQP	50
13	-900.0	L2_norm	OSQP	36
14	-3.1098640716899912	L2_norm	OSQP	45
15	-900.0	L2_norm	OSQP	31
16	-900.0	L2_norm	OSQP	33
17	-900.0	L2_norm	OSQP	26
18	-3.6711923642590567	L2_norm	OSQP	34
19	-900.0	L2_norm	OSQP	15
20	-3.395685416572007	L2_norm	OSQP	53
21	-900.0	L2_norm	OSQP	28
22	-900.0	L2_norm	OSQP	9
23	-900.0	L2_norm	OSQP	49
24	-900.0	L2_norm	OSQP	24
25	-900.0	L2_norm	OSQP	19
26	-900.0	L2_norm	OSQP	40
27	-2.4992622810474834	L2_norm	OSQP	27
28	-900.0	L2_norm	OSQP	23
29	-2.702342193792019	L2_norm	OSQP	44
30	-1.5944524128089725	L2_norm	OSQP	11
31	-3.062339849449202	L2_norm	OSQP	51
32	-900.0	L2_norm	OSQP	37
33	-2.6682991131205607	L2_norm	OSQP	38
34	-2.6331451907657693	L2_norm	OSQP	10
35	-3.091930194983134	L2_norm	OSQP	14
36	-5.11350159786587	L2_norm	OSQP	7
37	-2.7001255947849256	L2_norm	OSQP	41
38	-3.347204425151321	L2_norm	OSQP	17
39	-2.7515501186235993	L2_norm	OSQP	32
40	-2.6976175922726857	L2_norm	OSQP	16
41	-2.709318900447397	L2_norm	OSQP	25
42	-2.1472862561717134	L2_norm	OSQP	13
43	-2.618570669381929	L2_norm	OSQP	35
44	-2.4743861578058137	L2_norm	OSQP	46
45	-2.2514626606062627	L2_norm	OSQP	18
46	-2.225419920291669	L2_norm	OSQP	20
47	-1.8075973198222688	L2_norm	OSQP	1
48	-1.268354684911935	L2_norm	OSQP	3
49	-1.2961290711232352	L2_norm	OSQP	55
50	-1.910238330587188	L2_norm	OSQP	8
51	-1.539108167670114	L2_norm	OSQP	39
52	-1.5329004640375612	L2_norm	OSQP	6
53	-1.034532006709326	L2_norm	OSQP	12
54	-1.204197265386671	L2_norm	OSQP	5
55	-0.23456120578305592	L2_norm	OSQP	30
1	-900.0	qp_max_spa	COSMO	47
2	-900.0	qp_max_spa	COSMO	2
3	-900.0	qp_max_spa	COSMO	52
4	-900.0	qp_max_spa	COSMO	4
5	-900.0	qp_max_spa	COSMO	29
6	-900.0	qp_max_spa	COSMO	48
7	-900.0	qp_max_spa	COSMO	42
8	-900.0	qp_max_spa	COSMO	22
9	-900.0	qp_max_spa	COSMO	43
10	-900.0	qp_max_spa	COSMO	21
11	-5.459856674026849	qp_max_spa	COSMO	54
12	-900.0	qp_max_spa	COSMO	50
13	-900.0	qp_max_spa	COSMO	36
14	-900.0	qp_max_spa	COSMO	45
15	-900.0	qp_max_spa	COSMO	31
16	-900.0	qp_max_spa	COSMO	33
17	-900.0	qp_max_spa	COSMO	26
18	-9.486174566263529	qp_max_spa	COSMO	34
19	-900.0	qp_max_spa	COSMO	15
20	-900.0	qp_max_spa	COSMO	53
21	-900.0	qp_max_spa	COSMO	28
22	-900.0	qp_max_spa	COSMO	9
23	-900.0	qp_max_spa	COSMO	49
24	-900.0	qp_max_spa	COSMO	24
25	-900.0	qp_max_spa	COSMO	19
26	-900.0	qp_max_spa	COSMO	40
27	-900.0	qp_max_spa	COSMO	27
28	-900.0	qp_max_spa	COSMO	23
29	-3.398937951104936	qp_max_spa	COSMO	44
30	-1.591703630561064	qp_max_spa	COSMO	11
31	-3.8626986323878425	qp_max_spa	COSMO	51
32	-3.51628540121867	qp_max_spa	COSMO	37
33	-2.878077968388251	qp_max_spa	COSMO	38
34	-2.67668148396911	qp_max_spa	COSMO	10
35	-3.4829781602801364	qp_max_spa	COSMO	14
36	-3.6416898178441133	qp_max_spa	COSMO	7
37	-900.0	qp_max_spa	COSMO	41
38	-3.3460667596454883	qp_max_spa	COSMO	17
39	-3.327011395401093	qp_max_spa	COSMO	32
40	-2.831072510613198	qp_max_spa	COSMO	16
41	-2.8430174346649593	qp_max_spa	COSMO	25
42	-1.9844710151975131	qp_max_spa	COSMO	13
43	-2.6864073888192976	qp_max_spa	COSMO	35
44	-2.244607806825061	qp_max_spa	COSMO	46
45	-2.248655553244593	qp_max_spa	COSMO	18
46	-2.0970618859817387	qp_max_spa	COSMO	20
47	-1.8048486790368496	qp_max_spa	COSMO	1
48	-1.2656489495283247	qp_max_spa	COSMO	3
49	-1.2933862859017422	qp_max_spa	COSMO	55
50	-1.907484434087245	qp_max_spa	COSMO	8
51	-1.5363737134546407	qp_max_spa	COSMO	39
52	-1.5301815810587873	qp_max_spa	COSMO	6
53	-1.03178955252077	qp_max_spa	COSMO	12
54	-1.2014333025865795	qp_max_spa	COSMO	5
55	-0.23181451588813695	qp_max_spa	COSMO	30
1	-900.0	qp_max_spa	OSQP	47
2	-900.0	qp_max_spa	OSQP	2
3	-900.0	qp_max_spa	OSQP	52
4	-3.9051867763133825	qp_max_spa	OSQP	4
5	-900.0	qp_max_spa	OSQP	29
6	-900.0	qp_max_spa	OSQP	48
7	-900.0	qp_max_spa	OSQP	42
8	-900.0	qp_max_spa	OSQP	22
9	-900.0	qp_max_spa	OSQP	43
10	-900.0	qp_max_spa	OSQP	21
11	-3.1239693334507956	qp_max_spa	OSQP	54
12	-900.0	qp_max_spa	OSQP	50
13	-900.0	qp_max_spa	OSQP	36
14	-3.592848364163909	qp_max_spa	OSQP	45
15	-900.0	qp_max_spa	OSQP	31
16	-900.0	qp_max_spa	OSQP	33
17	-4.083524887335033	qp_max_spa	OSQP	26
18	-3.4863225733399745	qp_max_spa	OSQP	34
19	-900.0	qp_max_spa	OSQP	15
20	-900.0	qp_max_spa	OSQP	53
21	-900.0	qp_max_spa	OSQP	28
22	-900.0	qp_max_spa	OSQP	9
23	-900.0	qp_max_spa	OSQP	49
24	-900.0	qp_max_spa	OSQP	24
25	-900.0	qp_max_spa	OSQP	19
26	-900.0	qp_max_spa	OSQP	40
27	-2.9421549533378135	qp_max_spa	OSQP	27
28	-900.0	qp_max_spa	OSQP	23
29	-2.8006406228240768	qp_max_spa	OSQP	44
30	-1.592843343938201	qp_max_spa	OSQP	11
31	-3.3587703438310608	qp_max_spa	OSQP	51
32	-3.1263375526333754	qp_max_spa	OSQP	37
33	-2.7914658611636973	qp_max_spa	OSQP	38
34	-2.731169068965703	qp_max_spa	OSQP	10
35	-3.387303125981524	qp_max_spa	OSQP	14
36	-900.0	qp_max_spa	OSQP	7
37	-3.461722595337911	qp_max_spa	OSQP	41
38	-3.347140665947228	qp_max_spa	OSQP	17
39	-2.8574437502925005	qp_max_spa	OSQP	32
40	-2.782159576816314	qp_max_spa	OSQP	16
41	-2.773209901662861	qp_max_spa	OSQP	25
42	-2.036573949178394	qp_max_spa	OSQP	13
43	-2.6262509344498173	qp_max_spa	OSQP	35
44	-2.48641137825955	qp_max_spa	OSQP	46
45	-2.2497989946434283	qp_max_spa	OSQP	18
46	-2.117474898845875	qp_max_spa	OSQP	20
47	-1.805988219766957	qp_max_spa	OSQP	1
48	-1.2667818569146674	qp_max_spa	OSQP	3
49	-1.2945253082515789	qp_max_spa	OSQP	55
50	-1.908624364803496	qp_max_spa	OSQP	8
51	-1.537512054716191	qp_max_spa	OSQP	39
52	-1.531316862699203	qp_max_spa	OSQP	6
53	-1.0329274727962698	qp_max_spa	OSQP	12
54	-1.2025753428123849	qp_max_spa	OSQP	5
55	-0.2329534133521063	qp_max_spa	OSQP	30
1	-900.0	lp_max_spa	GLPK	47
2	-900.0	lp_max_spa	GLPK	2
3	-3.9595598356312656	lp_max_spa	GLPK	52
4	-900.0	lp_max_spa	GLPK	4
5	-900.0	lp_max_spa	GLPK	29
6	-900.0	lp_max_spa	GLPK	48
7	-900.0	lp_max_spa	GLPK	42
8	-5.259565883940756	lp_max_spa	GLPK	22
9	-4.98947262796277	lp_max_spa	GLPK	43
10	-4.9744444672384045	lp_max_spa	GLPK	21
11	-4.212385778527993	lp_max_spa	GLPK	54
12	-3.9052015567747294	lp_max_spa	GLPK	50
13	-3.8946653538965874	lp_max_spa	GLPK	36
14	-900.0	lp_max_spa	GLPK	45
15	-900.0	lp_max_spa	GLPK	31
16	-900.0	lp_max_spa	GLPK	33
17	-4.286622938505724	lp_max_spa	GLPK	26
18	-900.0	lp_max_spa	GLPK	34
19	-5.609688760892911	lp_max_spa	GLPK	15
20	-900.0	lp_max_spa	GLPK	53
21	-900.0	lp_max_spa	GLPK	28
22	-5.137444781212498	lp_max_spa	GLPK	9
23	-900.0	lp_max_spa	GLPK	49
24	-4.60300628140254	lp_max_spa	GLPK	24
25	-4.539824885147554	lp_max_spa	GLPK	19
26	-4.171985782316043	lp_max_spa	GLPK	40
27	-900.0	lp_max_spa	GLPK	27
28	-4.253245388653774	lp_max_spa	GLPK	23
29	-3.9572933550431886	lp_max_spa	GLPK	44
30	-1.5919093168935567	lp_max_spa	GLPK	11
31	-4.095199335610445	lp_max_spa	GLPK	51
32	-4.109071734088177	lp_max_spa	GLPK	37
33	-2.9163377916731403	lp_max_spa	GLPK	38
34	-2.616108429404642	lp_max_spa	GLPK	10
35	-3.486985809998881	lp_max_spa	GLPK	14
36	-3.6189652377971115	lp_max_spa	GLPK	7
37	-900.0	lp_max_spa	GLPK	41
38	-3.3451804582874907	lp_max_spa	GLPK	17
39	-3.004920230827999	lp_max_spa	GLPK	32
40	-2.8508520903993895	lp_max_spa	GLPK	16
41	-3.0003523311096507	lp_max_spa	GLPK	25
42	-1.9838888197580642	lp_max_spa	GLPK	13
43	-2.698218688787759	lp_max_spa	GLPK	35
44	-2.2335224265671068	lp_max_spa	GLPK	46
45	-2.2489137661320964	lp_max_spa	GLPK	18
46	-2.097093005311399	lp_max_spa	GLPK	20
47	-1.8050560255813313	lp_max_spa	GLPK	1
48	-1.265818088684338	lp_max_spa	GLPK	3
49	-1.2935866728163994	lp_max_spa	GLPK	55
50	-1.9076964463052584	lp_max_spa	GLPK	8
51	-1.5365682853653166	lp_max_spa	GLPK	39
52	-1.5303637381257873	lp_max_spa	GLPK	6
53	-1.0319881772634316	lp_max_spa	GLPK	12
54	-1.201650426843759	lp_max_spa	GLPK	5
55	-0.23201716158063904	lp_max_spa	GLPK	30
1	-900.0	lp_max_spa	Gurobi	47
2	-900.0	lp_max_spa	Gurobi	2
3	-900.0	lp_max_spa	Gurobi	52
4	-900.0	lp_max_spa	Gurobi	4
5	-3.851956383961982	lp_max_spa	Gurobi	29
6	-900.0	lp_max_spa	Gurobi	48
7	-900.0	lp_max_spa	Gurobi	42
8	-900.0	lp_max_spa	Gurobi	22
9	-900.0	lp_max_spa	Gurobi	43
10	-900.0	lp_max_spa	Gurobi	21
11	-900.0	lp_max_spa	Gurobi	54
12	-900.0	lp_max_spa	Gurobi	50
13	-900.0	lp_max_spa	Gurobi	36
14	-3.588301569889331	lp_max_spa	Gurobi	45
15	-900.0	lp_max_spa	Gurobi	31
16	-900.0	lp_max_spa	Gurobi	33
17	-900.0	lp_max_spa	Gurobi	26
18	-900.0	lp_max_spa	Gurobi	34
19	-900.0	lp_max_spa	Gurobi	15
20	-900.0	lp_max_spa	Gurobi	53
21	-900.0	lp_max_spa	Gurobi	28
22	-5.462081078589955	lp_max_spa	Gurobi	9
23	-900.0	lp_max_spa	Gurobi	49
24	-900.0	lp_max_spa	Gurobi	24
25	-900.0	lp_max_spa	Gurobi	19
26	-900.0	lp_max_spa	Gurobi	40
27	-900.0	lp_max_spa	Gurobi	27
28	-3.521208073392647	lp_max_spa	Gurobi	23
29	-900.0	lp_max_spa	Gurobi	44
30	-1.5917063861747758	lp_max_spa	Gurobi	11
31	-900.0	lp_max_spa	Gurobi	51
32	-900.0	lp_max_spa	Gurobi	37
33	-2.8551389024821914	lp_max_spa	Gurobi	38
34	-2.7865753572106287	lp_max_spa	Gurobi	10
35	-3.4830274181717367	lp_max_spa	Gurobi	14
36	-3.6417080968806284	lp_max_spa	Gurobi	7
37	-900.0	lp_max_spa	Gurobi	41
38	-3.346054731713736	lp_max_spa	Gurobi	17
39	-900.0	lp_max_spa	Gurobi	32
40	-2.8309876085703176	lp_max_spa	Gurobi	16
41	-2.7197959791703874	lp_max_spa	Gurobi	25
42	-1.9844730689301429	lp_max_spa	Gurobi	13
43	-2.755107289907686	lp_max_spa	Gurobi	35
44	-2.1845529674482833	lp_max_spa	Gurobi	46
45	-2.2486575519650907	lp_max_spa	Gurobi	18
46	-2.0970644303474	lp_max_spa	Gurobi	20
47	-1.8048496994915648	lp_max_spa	Gurobi	1
48	-1.2656505198326646	lp_max_spa	Gurobi	3
49	-1.2933880113682625	lp_max_spa	Gurobi	55
50	-1.907485894244687	lp_max_spa	Gurobi	8
51	-1.5363756484385729	lp_max_spa	Gurobi	39
52	-1.5301829631873662	lp_max_spa	Gurobi	6
53	-1.0317909812354848	lp_max_spa	Gurobi	12
54	-1.201434698702399	lp_max_spa	Gurobi	5
55	-0.23181597523411768	lp_max_spa	Gurobi	30
1	-900.0	lp_max_spa	SCIP	47
2	-5.462086772415774	lp_max_spa	SCIP	2
3	-900.0	lp_max_spa	SCIP	52
4	-8.197497271692862	lp_max_spa	SCIP	4
5	-900.0	lp_max_spa	SCIP	29
6	-900.0	lp_max_spa	SCIP	48
7	-900.0	lp_max_spa	SCIP	42
8	-3.862800335136986	lp_max_spa	SCIP	22
9	-900.0	lp_max_spa	SCIP	43
10	-900.0	lp_max_spa	SCIP	21
11	-900.0	lp_max_spa	SCIP	54
12	-900.0	lp_max_spa	SCIP	50
13	-900.0	lp_max_spa	SCIP	36
14	-900.0	lp_max_spa	SCIP	45
15	-900.0	lp_max_spa	SCIP	31
16	-900.0	lp_max_spa	SCIP	33
17	-900.0	lp_max_spa	SCIP	26
18	-900.0	lp_max_spa	SCIP	34
19	-900.0	lp_max_spa	SCIP	15
20	-3.587578899464191	lp_max_spa	SCIP	53
21	-900.0	lp_max_spa	SCIP	28
22	-900.0	lp_max_spa	SCIP	9
23	-900.0	lp_max_spa	SCIP	49
24	-900.0	lp_max_spa	SCIP	24
25	-3.516239078622568	lp_max_spa	SCIP	19
26	-900.0	lp_max_spa	SCIP	40
27	-900.0	lp_max_spa	SCIP	27
28	-900.0	lp_max_spa	SCIP	23
29	-900.0	lp_max_spa	SCIP	44
30	-1.5917048859021334	lp_max_spa	SCIP	11
31	-900.0	lp_max_spa	SCIP	51
32	-900.0	lp_max_spa	SCIP	37
33	-900.0	lp_max_spa	SCIP	38
34	-2.464800784642338	lp_max_spa	SCIP	10
35	-3.4830259178990945	lp_max_spa	SCIP	14
36	-3.6417065966079862	lp_max_spa	SCIP	7
37	-900.0	lp_max_spa	SCIP	41
38	-3.3460532314410933	lp_max_spa	SCIP	17
39	-2.8552236473353525	lp_max_spa	SCIP	32
40	-2.931442140914922	lp_max_spa	SCIP	16
41	-3.952165619789115	lp_max_spa	SCIP	25
42	-1.9844715686575005	lp_max_spa	SCIP	13
43	-2.6864168976926184	lp_max_spa	SCIP	35
44	-2.1845442826053225	lp_max_spa	SCIP	46
45	-2.248656051692448	lp_max_spa	SCIP	18
46	-2.0970629085280814	lp_max_spa	SCIP	20
47	-1.8048481992189225	lp_max_spa	SCIP	1
48	-1.2656490195600223	lp_max_spa	SCIP	3
49	-1.2933865110956202	lp_max_spa	SCIP	55
50	-1.9074843939720447	lp_max_spa	SCIP	8
51	-1.5363741481659305	lp_max_spa	SCIP	39
52	-1.530181462914724	lp_max_spa	SCIP	6
53	-1.0317894809628425	lp_max_spa	SCIP	12
54	-1.2014331984297566	lp_max_spa	SCIP	5
55	-0.23181447496147528	lp_max_spa	SCIP	30
1	-900.0	lp_max_spa	CDDLib	47
2	-900.0	lp_max_spa	CDDLib	2
3	-900.0	lp_max_spa	CDDLib	52
4	-900.0	lp_max_spa	CDDLib	4
5	-900.0	lp_max_spa	CDDLib	29
6	-900.0	lp_max_spa	CDDLib	48
7	-900.0	lp_max_spa	CDDLib	42
8	-900.0	lp_max_spa	CDDLib	22
9	-900.0	lp_max_spa	CDDLib	43
10	-5.462079830381613	lp_max_spa	CDDLib	21
11	-900.0	lp_max_spa	CDDLib	54
12	-900.0	lp_max_spa	CDDLib	50
13	-900.0	lp_max_spa	CDDLib	36
14	-900.0	lp_max_spa	CDDLib	45
15	-900.0	lp_max_spa	CDDLib	31
16	-900.0	lp_max_spa	CDDLib	33
17	-900.0	lp_max_spa	CDDLib	26
18	-900.0	lp_max_spa	CDDLib	34
19	-900.0	lp_max_spa	CDDLib	15
20	-900.0	lp_max_spa	CDDLib	53
21	-900.0	lp_max_spa	CDDLib	28
22	-900.0	lp_max_spa	CDDLib	9
23	-900.0	lp_max_spa	CDDLib	49
24	-900.0	lp_max_spa	CDDLib	24
25	-900.0	lp_max_spa	CDDLib	19
26	-900.0	lp_max_spa	CDDLib	40
27	-900.0	lp_max_spa	CDDLib	27
28	-3.5162727084563117	lp_max_spa	CDDLib	23
29	-3.3987601772232168	lp_max_spa	CDDLib	44
30	-1.5916949913815706	lp_max_spa	CDDLib	11
31	-3.8627264621773327	lp_max_spa	CDDLib	51
32	-900.0	lp_max_spa	CDDLib	37
33	-2.7459003901372943	lp_max_spa	CDDLib	38
34	-2.7867188243230925	lp_max_spa	CDDLib	10
35	-3.4822780249205074	lp_max_spa	CDDLib	14
36	-3.6417068486705975	lp_max_spa	CDDLib	7
37	-900.0	lp_max_spa	CDDLib	41
38	-3.346076144177062	lp_max_spa	CDDLib	17
39	-900.0	lp_max_spa	CDDLib	32
40	-2.8321719658060083	lp_max_spa	CDDLib	16
41	-2.719800808212916	lp_max_spa	CDDLib	25
42	-1.9844718559063386	lp_max_spa	CDDLib	13
43	-2.755957509058812	lp_max_spa	CDDLib	35
44	-2.221728855614073	lp_max_spa	CDDLib	46
45	-2.2486544892411016	lp_max_spa	CDDLib	18
46	-2.0970631605907	lp_max_spa	CDDLib	20
47	-1.804847712088964	lp_max_spa	CDDLib	1
48	-1.2656492716226404	lp_max_spa	CDDLib	3
49	-1.2933869836225893	lp_max_spa	CDDLib	55
50	-1.9074846460346628	lp_max_spa	CDDLib	8
51	-1.5363747666150966	lp_max_spa	CDDLib	39
52	-1.5301817159823283	lp_max_spa	CDDLib	6
53	-1.0317897291018086	lp_max_spa	CDDLib	12
54	-1.2014334504923747	lp_max_spa	CDDLib	5
55	-0.23181472600564598	lp_max_spa	CDDLib	30
1	-5.679018495295038	lp_max_spa	ECOS	47
2	-5.590781404377322	lp_max_spa	ECOS	2
3	-5.714697714148935	lp_max_spa	ECOS	52
4	-5.541511759804909	lp_max_spa	ECOS	4
5	-4.84216373871374	lp_max_spa	ECOS	29
6	-4.75381615146983	lp_max_spa	ECOS	48
7	-5.484354158193886	lp_max_spa	ECOS	42
8	-4.824735162594679	lp_max_spa	ECOS	22
9	-4.737618600080116	lp_max_spa	ECOS	43
10	-5.631975907428486	lp_max_spa	ECOS	21
11	-5.5713228003190025	lp_max_spa	ECOS	54
12	-4.821958871882051	lp_max_spa	ECOS	50
13	-4.712855400449057	lp_max_spa	ECOS	36
14	-4.010246692307472	lp_max_spa	ECOS	45
15	-4.639627519408177	lp_max_spa	ECOS	31
16	-4.545377749783159	lp_max_spa	ECOS	33
17	-4.610205502315269	lp_max_spa	ECOS	26
18	-5.488000654242762	lp_max_spa	ECOS	34
19	-4.561031178429197	lp_max_spa	ECOS	15
20	-4.0474280500003275	lp_max_spa	ECOS	53
21	-4.6252118923316	lp_max_spa	ECOS	28
22	-5.460512366181182	lp_max_spa	ECOS	9
23	-4.532310849717139	lp_max_spa	ECOS	49
24	-4.638023378669049	lp_max_spa	ECOS	24
25	-4.55052080944651	lp_max_spa	ECOS	19
26	-4.567753771292243	lp_max_spa	ECOS	40
27	-4.6026454531156	lp_max_spa	ECOS	27
28	-4.586972809213936	lp_max_spa	ECOS	23
29	-3.925299283220267	lp_max_spa	ECOS	44
30	-1.5915625353804566	lp_max_spa	ECOS	11
31	-4.619311709685306	lp_max_spa	ECOS	51
32	-4.488663324406582	lp_max_spa	ECOS	37
33	-3.0705622423664747	lp_max_spa	ECOS	38
34	-2.623437015628263	lp_max_spa	ECOS	10
35	-3.4934376856609184	lp_max_spa	ECOS	14
36	-3.6430239696258546	lp_max_spa	ECOS	7
37	-4.59447051442732	lp_max_spa	ECOS	41
38	-3.3324880283996343	lp_max_spa	ECOS	17
39	-3.2260264261903804	lp_max_spa	ECOS	32
40	-2.8446785186599364	lp_max_spa	ECOS	16
41	-2.952549041240648	lp_max_spa	ECOS	25
42	-1.9858711819845274	lp_max_spa	ECOS	13
43	-2.6914686056312425	lp_max_spa	ECOS	35
44	-2.1987719630162226	lp_max_spa	ECOS	46
45	-2.247349915581043	lp_max_spa	ECOS	18
46	-2.098299645323268	lp_max_spa	ECOS	20
47	-1.8044329693828847	lp_max_spa	ECOS	1
48	-1.2658184032860702	lp_max_spa	ECOS	3
49	-1.2933126531595687	lp_max_spa	ECOS	55
50	-1.906702368279174	lp_max_spa	ECOS	8
51	-1.5361529043757447	lp_max_spa	ECOS	39
52	-1.5299436743522334	lp_max_spa	ECOS	6
53	-1.0317788790103406	lp_max_spa	ECOS	12
54	-1.2014503178683986	lp_max_spa	ECOS	5
55	-0.23192726820171958	lp_max_spa	ECOS	30
1	-900.0	lp_max_spa	OSQP	47
2	-900.0	lp_max_spa	OSQP	2
3	-900.0	lp_max_spa	OSQP	52
4	-5.462086510038287	lp_max_spa	OSQP	4
5	-3.8628001555678537	lp_max_spa	OSQP	29
