x	y	class	solver	efm
1	-8.263027682750044	Markov	Markov	47
2	-7.518348034129077	Markov	Markov	2
3	-6.853976923662433	Markov	Markov	52
4	-6.6847062355935405	Markov	Markov	4
5	-6.6481458125857	Markov	Markov	29
6	-6.617233465880528	Markov	Markov	48
7	-5.940026586972573	Markov	Markov	42
8	-5.903466163964732	Markov	Markov	22
9	-5.8725538172595595	Markov	Markov	43
10	-5.851836533895204	Markov	Markov	21
11	-5.275655476505929	Markov	Markov	54
12	-5.2390950534980885	Markov	Markov	50
13	-5.208182706792916	Markov	Markov	36
14	-5.143785014293671	Markov	Markov	45
15	-5.069824365429197	Markov	Markov	31
16	-5.038912018724024	Markov	Markov	33
17	-4.884765046373931	Markov	Markov	26
18	-4.683805967666599	Markov	Markov	34
19	-4.605717406109233	Markov	Markov	15
20	-4.399105365672703	Markov	Markov	53
21	-4.325144716808229	Markov	Markov	28
22	-4.319218936196455	Markov	Markov	9
23	-4.294232370103056	Markov	Markov	49
24	-4.2369546637308595	Markov	Markov	24
25	-4.2060423170256875	Markov	Markov	19
26	-4.140085397752963	Markov	Markov	40
27	-3.9956339672350785	Markov	Markov	27
28	-3.9239455038442808	Markov	Markov	23
29	-3.7347342552060594	Markov	Markov	44
30	-3.687870804313477	Markov	Markov	11
31	-3.660773606341585	Markov	Markov	51
32	-3.629861259636412	Markov	Markov	37
33	-3.5654635671371677	Markov	Markov	38
34	-3.4113165947870745	Markov	Markov	10
35	-3.1322689545223765	Markov	Markov	14
36	-3.0689240975022543	Markov	Markov	7
37	-2.929938660135963	Markov	Markov	41
38	-2.887333928888613	Markov	Markov	17
39	-2.8207839185161996	Markov	Markov	32
40	-2.732593865438831	Markov	Markov	16
41	-2.666636946166107	Markov	Markov	25
42	-2.522185515648222	Markov	Markov	13
43	-2.4504970522574245	Markov	Markov	35
44	-2.1564128080495557	Markov	Markov	46
45	-1.837585512277785	Markov	Markov	18
46	-1.4564902085491067	Markov	Markov	20
47	-1.3223723416601942	Markov	Markov	1
48	-1.272007562988288	Markov	Markov	3
49	-1.2139049066760774	Markov	Markov	55
