x	y	class	solver	efm
1	-8.407350357756032	Markov	Markov	47
2	-8.662342795913963	Markov	Markov	2
3	-7.6540141312198475	Markov	Markov	52
4	-7.109073549453273	Markov	Markov	4
5	-6.115300779225172	Markov	Markov	29
6	-6.325184205129164	Markov	Markov	48
7	-7.3640659876112045	Markov	Markov	42
8	-6.370293217383104	Markov	Markov	22
9	-6.5801766432870945	Markov	Markov	43
10	-6.980849611010876	Markov	Markov	21
11	-6.35573732291709	Markov	Markov	54
12	-5.361964552688989	Markov	Markov	50
13	-5.57184797859298	Markov	Markov	36
14	-4.279647127569793	Markov	Markov	45
15	-4.817023970922414	Markov	Markov	31
16	-5.026907396826405	Markov	Markov	33
17	-4.704348101227979	Markov	Markov	26
18	-5.947967679143861	Markov	Markov	34
19	-5.544453810744416	Markov	Markov	15
20	-4.534639565727724	Markov	Markov	53
21	-5.072016409080345	Markov	Markov	28
22	-5.813937295236322	Markov	Markov	9
23	-5.281899834984336	Markov	Markov	49
24	-4.6888000324800165	Markov	Markov	24
25	-4.898683458384008	Markov	Markov	19
26	-4.95934053938591	Markov	Markov	40
27	-4.045899496689042	Markov	Markov	27
28	-4.747847407773968	Markov	Markov	23
29	-3.5263109010336096	Markov	Markov	44
30	-1.6037051763913261	Markov	Markov	11
31	-4.063687744386231	Markov	Markov	51
32	-4.2735711702902215	Markov	Markov	37
33	-2.9813703192670347	Markov	Markov	38
34	-2.658811023668609	Markov	Markov	10
35	-3.498916733185046	Markov	Markov	14
36	-3.6559181006130017	Markov	Markov	7
37	-4.158491283479102	Markov	Markov	41
38	-3.358026221765283	Markov	Markov	17
39	-3.2363627574249656	Markov	Markov	32
40	-2.8531463808246373	Markov	Markov	16
41	-2.91380346182654	Markov	Markov	25
42	-2.0003624191296714	Markov	Markov	13
43	-2.7023103302145968	Markov	Markov	35
44	-2.228034092730851	Markov	Markov	46
45	-2.260653323912383	Markov	Markov	18
46	-2.1129542059197317	Markov	Markov	20
47	-1.8168467888440507	Markov	Markov	1
48	-1.2776467020917268	Markov	Markov	3
49	-1.3053846616476925	Markov	Markov	55
50	-1.919482558609448	Markov	Markov	8
51	-1.5483727747255074	Markov	Markov	39
52	-1.5421817636797275	Markov	Markov	6
53	-1.0437877289198372	Markov	Markov	12
54	-1.213431446386751	Markov	Markov	5
55	-0.24381212804037225	Markov	Markov	30
1	-7.508214800755527	L2_norm	COSMO	47
2	-7.489677950361623	L2_norm	COSMO	2
3	-7.953701253382772	L2_norm	COSMO	52
4	-8.120171059092925	L2_norm	COSMO	4
5	-7.684758485295615	L2_norm	COSMO	29
6	-900.0	L2_norm	COSMO	48
7	-7.864386124350142	L2_norm	COSMO	42
8	-7.65721392556417	L2_norm	COSMO	22
9	-8.890056738393493	L2_norm	COSMO	43
10	-7.787348742216788	L2_norm	COSMO	21
11	-7.753207585836567	L2_norm	COSMO	54
12	-8.12879928437074	L2_norm	COSMO	50
13	-900.0	L2_norm	COSMO	36
14	-7.9601639493014655	L2_norm	COSMO	45
15	-8.344729020657512	L2_norm	COSMO	31
16	-900.0	L2_norm	COSMO	33
17	-900.0	L2_norm	COSMO	26
18	-5.487244728598947	L2_norm	COSMO	34
19	-900.0	L2_norm	COSMO	15
20	-7.978353014683002	L2_norm	COSMO	53
21	-8.231777317608234	L2_norm	COSMO	28
22	-900.0	L2_norm	COSMO	9
23	-900.0	L2_norm	COSMO	49
24	-8.007737814075345	L2_norm	COSMO	24
25	-900.0	L2_norm	COSMO	19
26	-900.0	L2_norm	COSMO	40
27	-3.5279784844168955	L2_norm	COSMO	27
28	-900.0	L2_norm	COSMO	23
29	-3.411081023806296	L2_norm	COSMO	44
30	-1.6037017618820506	L2_norm	COSMO	11
31	-3.864483719820258	L2_norm	COSMO	51
32	-900.0	L2_norm	COSMO	37
33	-2.9053833191455696	L2_norm	COSMO	38
34	-2.6793222967325643	L2_norm	COSMO	10
35	-3.494915154855213	L2_norm	COSMO	14
36	-3.660119346069402	L2_norm	COSMO	7
37	-900.0	L2_norm	COSMO	41
38	-3.3580693088965172	L2_norm	COSMO	17
39	-3.298765790227981	L2_norm	COSMO	32
40	-2.843073708235946	L2_norm	COSMO	16
41	-2.8691017352235537	L2_norm	COSMO	25
42	-2.009433583638165	L2_norm	COSMO	13
43	-2.698404260461707	L2_norm	COSMO	35
44	-2.2339458684360607	L2_norm	COSMO	46
45	-2.260653147825994	L2_norm	COSMO	18
46	-2.10905837795231	L2_norm	COSMO	20
47	-1.8168460793827184	L2_norm	COSMO	1
48	-1.2776468217727976	L2_norm	COSMO	3
49	-1.305384151209605	L2_norm	COSMO	55
50	-1.9194822158438776	L2_norm	COSMO	8
51	-1.5483716414089057	L2_norm	COSMO	39
52	-1.5421792987634995	L2_norm	COSMO	6
53	-1.043787305987125	L2_norm	COSMO	12
54	-1.2134310713279721	L2_norm	COSMO	5
55	-0.2438123009478109	L2_norm	COSMO	30
1	-900.0	L2_norm	OSQP	47
2	-900.0	L2_norm	OSQP	2
3	-900.0	L2_norm	OSQP	52
4	-900.0	L2_norm	OSQP	4
5	-900.0	L2_norm	OSQP	29
6	-900.0	L2_norm	OSQP	48
7	-900.0	L2_norm	OSQP	42
8	-900.0	L2_norm	OSQP	22
9	-900.0	L2_norm	OSQP	43
10	-900.0	L2_norm	OSQP	21
11	-2.9505971366696	L2_norm	OSQP	54
12	-900.0	L2_norm	OSQP	50
